No se encuentra la base de datos indicada.﻿0
Fecha|Valor
1963-02-01 00:00:00|295.8
1963-02-02 00:00:00|296.1
1963-02-03 00:00:00|296.4
1963-02-04 00:00:00|296.6
1963-02-05 00:00:00|296.9
1963-02-06 00:00:00|297.2
1963-02-07 00:00:00|297.2
1963-02-08 00:00:00|293.9
1963-02-09 00:00:00|111.0
1963-02-10 00:00:00|146.0
1963-02-11 00:00:00|185.0
1963-02-12 00:00:00|173.0
1963-02-13 00:00:00|161.0
1963-02-14 00:00:00|154.0
1963-02-15 00:00:00|151.0
1963-02-16 00:00:00|139.0
1963-02-17 00:00:00|122.0
1963-02-18 00:00:00|114.0
1963-02-19 00:00:00|108.0
1963-02-20 00:00:00|105.0
1963-02-21 00:00:00|105.0
1963-02-22 00:00:00|131.0
1963-02-23 00:00:00|144.0
1963-02-24 00:00:00|166.0
1963-02-25 00:00:00|147.0
1963-02-26 00:00:00|126.0
1963-02-27 00:00:00|114.0
1963-02-28 00:00:00|109.0
1963-03-01 00:00:00|104.0
1963-03-02 00:00:00|97.0
1963-03-03 00:00:00|97.0
1963-03-04 00:00:00|96.0
1963-03-05 00:00:00|90.0
1963-03-06 00:00:00|89.0
1963-03-07 00:00:00|100.0
1963-03-08 00:00:00|89.0
1963-03-09 00:00:00|88.0
1963-03-10 00:00:00|92.0
1963-03-11 00:00:00|92.0
1963-03-12 00:00:00|100.0
1963-03-13 00:00:00|100.0
1963-03-14 00:00:00|138.0
1963-03-15 00:00:00|137.0
1963-03-16 00:00:00|151.0
1963-03-17 00:00:00|137.0
1963-03-18 00:00:00|124.0
1963-03-19 00:00:00|113.0
1963-03-20 00:00:00|116.0
1963-03-21 00:00:00|133.0
1963-03-22 00:00:00|116.0
1963-03-23 00:00:00|105.0
1963-03-24 00:00:00|98.0
1963-03-25 00:00:00|97.0
1963-03-26 00:00:00|97.0
1963-03-27 00:00:00|137.0
1963-03-28 00:00:00|127.0
1963-03-29 00:00:00|108.0
1963-03-30 00:00:00|102.0
